FID,ANSI_ST,ANSI_CNTY,ANSI_ST_CO,CNTY_NAME,CFS07_AREA,CFS12_AREA,CFS07_TYPE,CFS12_TYPE,CFS07DDGEO,CFS07GEOID,CFS12GEOID,CFS07_NAME,CFS12_NAME
1509,29,035,29035,Carter County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1510,51,131,51131,Northampton County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1511,29,157,29157,Perry County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1512,29,069,29069,Dunklin County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1513,51,550,51550,Chesapeake city,47260,545,M,C,512,E330000US5199947260,E330000US5154500000,"Virginia Beach-Norfolk-Newport News, VA-NC CFS Area (VA Part)","Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
1514,51,530,51530,Buena Vista city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1515,51,033,51033,Caroline County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1516,29,121,29121,Macon County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1517,51,037,51037,Charlotte County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1518,29,135,29135,Moniteau County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1519,29,199,29199,Scotland County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1520,29,195,29195,Saline County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1521,33,003,33003,Carroll County,99999,99999,R,R,330,E330000US3399999999,E330000US3399999999,Remainder of New Hampshire,Remainder of New Hampshire
1522,29,029,29029,Camden County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1523,29,055,29055,Crawford County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1524,29,219,29219,Warren County,476,476,C,C,292,E330000US2947600000,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part)","St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)"
1525,29,075,29075,Gentry County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1526,29,011,29011,Barton County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1527,29,145,29145,Newton County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1528,33,015,33015,Rockingham County,99999,148,R,C,330,E330000US3399999999,E330000US3314800000,Remainder of New Hampshire,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)"
1529,51,127,51127,New Kent County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1530,29,510,29510,St. Louis city,476,476,C,C,292,E330000US2947600000,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part)","St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)"
1531,51,107,51107,Loudoun County,548,47900,C,M,513,E330000US5154800000,E330000US5154847900,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CFS Area (VA Part)","Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)"
1532,29,077,29077,Greene County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1533,51,191,51191,Washington County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1534,51,750,51750,Radford city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1535,29,201,29201,Scott County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1536,29,089,29089,Howard County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1537,01,041,01041,Crenshaw County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1538,29,027,29027,Callaway County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1539,33,017,33017,Strafford County,99999,148,R,C,330,E330000US3399999999,E330000US3314800000,Remainder of New Hampshire,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)"
1540,29,017,29017,Bollinger County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1541,29,087,29087,Holt County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1542,01,035,01035,Conecuh County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1543,29,221,29221,Washington County,476,99999,C,R,292,E330000US2947600000,E330000US2999999999,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part)",Remainder of Missouri
1544,29,141,29141,Morgan County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1545,29,043,29043,Christian County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1546,29,117,29117,Livingston County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1547,29,173,29173,Ralls County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1548,29,177,29177,Ray County,312,312,C,C,291,E330000US2931200000,E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (MO Part)","Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
1549,29,129,29129,Mercer County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1550,51,013,51013,Arlington County,548,47900,C,M,513,E330000US5154800000,E330000US5154847900,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CFS Area (VA Part)","Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)"
1551,29,179,29179,Reynolds County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1552,29,033,29033,Carroll County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1553,33,009,33009,Grafton County,99999,99999,R,R,330,E330000US3399999999,E330000US3399999999,Remainder of New Hampshire,Remainder of New Hampshire
1554,29,079,29079,Grundy County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1555,29,197,29197,Schuyler County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1556,51,149,51149,Prince George County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1557,29,167,29167,Polk County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1558,29,103,29103,Knox County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1559,33,005,33005,Cheshire County,99999,99999,R,R,330,E330000US3399999999,E330000US3399999999,Remainder of New Hampshire,Remainder of New Hampshire
1560,51,051,51051,Dickenson County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1561,51,063,51063,Floyd County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1562,29,031,29031,Cape Girardeau County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1563,29,023,29023,Butler County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1564,29,123,29123,Madison County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1565,51,073,51073,Gloucester County,47260,545,M,C,512,E330000US5199947260,E330000US5154500000,"Virginia Beach-Norfolk-Newport News, VA-NC CFS Area (VA Part)","Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
1566,01,055,01055,Etowah County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1567,29,143,29143,New Madrid County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1568,51,007,51007,Amelia County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1569,29,083,29083,Henry County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1570,33,019,33019,Sullivan County,99999,99999,R,R,330,E330000US3399999999,E330000US3399999999,Remainder of New Hampshire,Remainder of New Hampshire
1571,51,075,51075,Goochland County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1572,29,095,29095,Jackson County,312,312,C,C,291,E330000US2931200000,E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (MO Part)","Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
1573,51,141,51141,Patrick County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1574,23,013,23013,Knox County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1575,01,105,01105,Perry County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1576,23,023,23023,Sagadahoc County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1577,51,175,51175,Southampton County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1578,29,009,29009,Barry County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1579,01,011,01011,Bullock County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1580,51,171,51171,Shenandoah County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1581,29,063,29063,DeKalb County,99999,312,R,C,299,E330000US2999999999,E330000US2931200000,Remainder of Missouri,"Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
1582,51,009,51009,Amherst County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1583,51,077,51077,Grayson County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1584,33,001,33001,Belknap County,99999,148,R,C,330,E330000US3399999999,E330000US3314800000,Remainder of New Hampshire,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)"
1585,29,091,29091,Howell County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1586,29,131,29131,Miller County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1587,23,007,23007,Franklin County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1588,51,735,51735,Poquoson city,47260,545,M,C,512,E330000US5199947260,E330000US5154500000,"Virginia Beach-Norfolk-Newport News, VA-NC CFS Area (VA Part)","Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
1589,51,071,51071,Giles County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1590,51,570,51570,Colonial Heights city,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1591,51,001,51001,Accomack County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1592,29,057,29057,Dade County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1593,01,093,01093,Marion County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1594,51,165,51165,Rockingham County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1595,01,125,01125,Tuscaloosa County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1596,29,215,29215,Texas County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1597,51,670,51670,Hopewell city,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1598,01,117,01117,Shelby County,142,142,C,C,011,E330000US0114200000,E330000US0114200000,"Birmingham-Hoover-Cullman, AL CFS Area","Birmingham-Hoover-Talladega, AL  CFS Area"
1599,01,109,01109,Pike County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1600,23,011,23011,Kennebec County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1601,51,045,51045,Craig County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1602,29,001,29001,Adair County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1603,29,013,29013,Bates County,312,312,C,C,291,E330000US2931200000,E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (MO Part)","Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
1604,29,059,29059,Dallas County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1605,29,163,29163,Pike County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1606,23,005,23005,Cumberland County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1607,23,021,23021,Piscataquis County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1608,29,133,29133,Mississippi County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1609,29,041,29041,Chariton County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1610,51,720,51720,Norton city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1611,51,109,51109,Louisa County,40060,99999,M,R,511,E330000US5199940060,E330000US5199999999,"Richmond, VA CFS Area",Remainder of Virginia
1612,29,101,29101,Johnson County,312,312,C,C,291,E330000US2931200000,E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (MO Part)","Kansas City-Overland Park-Kansas City, MO-KS  CFS Area (MO Part)"
1613,23,015,23015,Lincoln County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1614,23,029,23029,Washington County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1615,23,017,23017,Oxford County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1616,29,071,29071,Franklin County,476,476,C,C,292,E330000US2947600000,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part)","St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)"
1617,51,115,51115,Mathews County,47260,545,M,C,512,E330000US5199947260,E330000US5154500000,"Virginia Beach-Norfolk-Newport News, VA-NC CFS Area (VA Part)","Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
1618,51,049,51049,Cumberland County,40060,99999,M,R,511,E330000US5199940060,E330000US5199999999,"Richmond, VA CFS Area",Remainder of Virginia
1619,51,730,51730,Petersburg city,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1620,51,079,51079,Greene County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1621,29,225,29225,Webster County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1622,29,181,29181,Ripley County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1623,29,137,29137,Monroe County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1624,29,209,29209,Stone County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1625,51,775,51775,Salem city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1626,29,183,29183,St. Charles County,476,476,C,C,292,E330000US2947600000,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (MO Part)","St. Louis-St. Charles-Farmington, MO-IL  CFS Area (MO Part)"
1627,33,013,33013,Merrimack County,99999,148,R,C,330,E330000US3399999999,E330000US3314800000,Remainder of New Hampshire,"Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (NH Part)"
1628,29,139,29139,Montgomery County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1629,51,023,51023,Botetourt County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1630,29,119,29119,McDonald County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1631,23,001,23001,Androscoggin County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1632,51,003,51003,Albemarle County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1633,29,105,29105,Laclede County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1634,29,159,29159,Pettis County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1635,51,083,51083,Halifax County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1636,29,211,29211,Sullivan County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1637,51,640,51640,Galax city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1638,51,145,51145,Powhatan County,40060,40060,M,M,511,E330000US5199940060,E330000US5199940060,"Richmond, VA CFS Area","Richmond, VA  CFS Area"
1639,23,025,23025,Somerset County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1640,51,590,51590,Danville city,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1641,51,011,51011,Appomattox County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1642,51,683,51683,Manassas city,548,47900,C,M,513,E330000US5154800000,E330000US5154847900,"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CFS Area (VA Part)","Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)"
1643,23,031,23031,York County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1644,01,129,01129,Washington County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1645,01,039,01039,Covington County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1646,01,089,01089,Madison County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1647,29,061,29061,Daviess County,99999,99999,R,R,299,E330000US2999999999,E330000US2999999999,Remainder of Missouri,Remainder of Missouri
1648,23,009,23009,Hancock County,99999,99999,R,R,230,E330000US2399999999,E330000US2399999999,Remainder of Maine,Remainder of Maine
1649,33,007,33007,Coos County,99999,99999,R,R,330,E330000US3399999999,E330000US3399999999,Remainder of New Hampshire,Remainder of New Hampshire
1650,01,085,01085,Lowndes County,99999,99999,R,R,019,E330000US0199999999,E330000US0199999999,Remainder of Alabama,Remainder of Alabama
1651,51,017,51017,Bath County,99999,99999,R,R,519,E330000US5199999999,E330000US5199999999,Remainder of Virginia,Remainder of Virginia
1652,45,065,45065,McCormick County,99999,99999,R,R,459,E330000US4599999999,E330000US4599999999,Remainder of South Carolina,Remainder of South Carolina
1653,45,025,45025,Chesterfield County,99999,99999,R,R,459,E330000US4599999999,E330000US4599999999,Remainder of South Carolina,Remainder of South Carolina
